keys,et,en
SITE_KVISSENTALI,Kvissentali,Kvissentali
SITE_KVISSENTALI_SUBTITLE,"Kvissentali: kolm aastat, sama maa.","Kvissentali: three years, the same ground."
ERA_1798_NAME,Aasta 1798,The year 1798
ERA_1938_NAME,Aasta 1938,The year 1938
ERA_2026_NAME,Aasta 2026,The year 2026
CUR_1798,kopikat,kopecks
CUR_1938,senti,cents
CUR_2026,senti,cents
ANIMAL_BLACK_GROUSE,Tedr,Black grouse
ANIMAL_HARE,Jänes,Hare
ANIMAL_ROE_DEER,Metskits,Roe deer
CROP_CABBAGE,Kapsas,Cabbage
CROP_OATS,Kaer,Oats
CROP_POTATO,Kartul,Potato
CROP_RYE,Rukis,Rye
ITEM_CABBAGE,Kapsas,Cabbage
ITEM_CABBAGE_DESC,Kaks pead. Rasked.,Two heads. Heavy.
ITEM_COFFEE,Kohv,Coffee
ITEM_COFFEE_DESC,Pool kilo. Poemüüja imestas.,Half a kilo. The shopkeeper was surprised.
ITEM_GROUSE,Tedr,Black grouse
ITEM_GROUSE_DESC,"Must lind, raske kui kivi.","A black bird, heavy as a stone."
ITEM_HARE_MEAT,Jänes,Hare
ITEM_HARE_MEAT_DESC,Üks jänes. Kubjas ei tohi teada.,One hare. The steward must not know.
ITEM_HYMNBOOK,Lauluraamat,Hymnbook
ITEM_HYMNBOOK_DESC,"Vana kirjaviis. Nimi esilehel: Kaseoja Mart, kirjutatud kellegi teise käega.","Old orthography. A name on the flyleaf: Kaseoja Mart, in someone else's hand."
ITEM_KEROSENE,Petrool,Kerosene
ITEM_KEROSENE_DESC,Lambi jaoks.,For the lamp.
ITEM_MILK_CHURN_LID,Piimanõu kaas,Milk-churn lid
ITEM_MILK_CHURN_LID_DESC,Piimaühingu number on peale löödud.,The dairy cooperative's number is stamped on it.
ITEM_NAILS,Naelad,Nails
ITEM_NAILS_DESC,Paberisse keeratud. Juhan loeb need üle.,Wrapped in paper. Juhan will count them.
ITEM_OATS,Kaer,Oats
ITEM_OATS_DESC,Vihk kaeru.,A sheaf of oats.
ITEM_POTATOES,Kartulid,Potatoes
ITEM_POTATOES_DESC,"Korv kartuleid, muld küljes.","A basket of potatoes, soil still on them."
ITEM_RUSTED_TOOL,Roostes tööriist,Rusted tool
ITEM_RUSTED_TOOL_DESC,Kellegi sirp. Terast on vähe alles.,Someone's sickle. Not much steel left.
ITEM_RYE,Rukis,Rye
ITEM_RYE_DESC,Vihk. Leib on selle sees kuskil.,A sheaf. Bread is in there somewhere.
ITEM_SALT,Sool,Salt
ITEM_SALT_DESC,Kotike soola. Kallim kui kõik muu.,A bag of salt. Dearer than anything else.
ITEM_SEED_CABBAGE,Kapsaseeme,Cabbage seed
ITEM_SEED_CABBAGE_DESC,"Paberkotis, poe oma.","In a paper packet, from the shop."
